Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
08/06/2013,"6,604.21","6,619.58","6,630.14","6,562.32",698.36M,-0.23%,,,6567.70459
08/05/2013,"6,619.58","6,647.87","6,684.95","6,590.10",604.09M,-0.43%,,,6597.070801
08/02/2013,"6,647.87","6,681.98","6,696.63","6,623.85",660.35M,-0.51%,,,6621.816406
08/01/2013,"6,681.98","6,621.06","6,681.98","6,607.27",977.04M,0.92%,,,6562.553711
07/31/2013,"6,621.06","6,570.95","6,659.35","6,556.65",751.66M,0.76%,,,6516.555664
07/30/2013,"6,570.95","6,560.25","6,600.72","6,560.25",696.26M,0.16%,,,6505.794922
07/29/2013,"6,560.25","6,554.79","6,606.36","6,544.14",487.60M,0.08%,,,6503.929688
07/26/2013,"6,554.79","6,587.95","6,629.89","6,535.18",455.32M,-0.50%,,,6536.209961
07/25/2013,"6,587.95","6,620.43","6,625.35","6,540.42",505.14M,-0.49%,,,6561.946777
07/24/2013,"6,620.43","6,597.44","6,662.19","6,581.61",595.81M,0.35%,,,6543.70752
07/23/2013,"6,597.44","6,623.17","6,657.66","6,597.44",673.30M,-0.39%,,,6567.180664
07/22/2013,"6,623.17","6,630.67","6,645.01","6,608.17",502.87M,-0.11%,,,6574.150391
07/19/2013,"6,630.67","6,634.36","6,635.22","6,592.10",756.02M,-0.06%,,,6570.51709
07/18/2013,"6,634.36","6,571.93","6,657.38","6,555.82",657.40M,0.95%,,,6512.799316
07/17/2013,"6,571.93","6,556.35","6,595.62","6,517.38",694.63M,0.24%,,,6501.624512
07/16/2013,"6,556.35","6,586.11","6,606.42","6,556.35",746.49M,-0.45%,,,6523.400391
07/15/2013,"6,586.11","6,544.94","6,605.90","6,544.94",585.05M,0.63%,,,6486.28125
07/12/2013,"6,544.94","6,543.41","6,583.90","6,540.24",595.53M,0.02%,,,6480.84375
